,CustomerID,Gender,Age,Annual_Income (k$),Spending_Score,visits_p12,morning_visits_p12,afternoon_visit_p12,evening_visits_p12,morning_spending_score,afternoon_spending_score,evening_spending_score,weekday_visits_p12,weekend_visits_p12,weekday_spending_score,weekend_spending_score,fiirst_visit_till_today,with_kids_visits_p12,with_couple_visits_p12,clothing_spending_score,food&beverage_spending_score,entertainment_spending_score,kids_spending_score,Kmeans_result
0,4,1,23,16,77,44,44,0,0,77,0,0,44,0,77,0,269.0,0,0,0,77,0,0,10
1,2,0,21,15,81,120,0,120,0,0,81,0,120,0,81,0,210.0,0,0,0,81,0,0,5
2,3,1,20,16,6,2,0,0,2,0,0,6,0,2,0,6,157.0,0,2,0,3,3,0,11
3,1,0,19,15,39,10,0,0,10,0,0,39,10,0,39,0,634.0,0,8,0,30,9,0,11
4,61,0,70,46,56,31,0,0,31,0,0,56,18,13,40,16,700.0,0,31,6,50,0,0,3
5,71,0,70,49,55,40,0,0,40,0,0,55,8,32,40,15,720.0,0,40,5,50,0,0,3
6,58,0,69,44,46,90,0,0,90,0,0,46,26,64,37,9,890.0,0,90,9,37,0,0,2
7,157,0,37,78,1,1,1,0,0,1,0,0,0,1,0,1,300.0,0,1,0,0,1,0,6
8,122,1,38,67,40,1,1,0,0,40,0,0,1,0,17,23,216.0,0,1,0,0,40,0,6
9,6,1,22,17,76,1,1,0,0,76,0,0,1,0,44,32,370.0,0,1,0,0,76,0,8
10,34,0,18,33,92,1,1,0,0,92,0,0,0,1,0,92,194.0,0,1,0,0,92,0,8
11,15,0,37,20,13,2,2,0,0,13,0,0,1,1,2,11,545.0,0,2,0,0,13,0,11
12,152,0,39,78,88,2,2,0,0,88,0,0,1,1,26,62,61.0,0,2,0,0,88,0,8
13,147,0,48,77,36,3,3,0,0,36,0,0,2,1,20,16,301.0,0,3,0,0,36,0,6
14,28,0,35,28,61,4,4,0,0,61,0,0,1,3,5,56,342.0,0,4,0,0,61,0,8
15,46,1,24,39,65,7,7,0,0,65,0,0,1,6,6,59,467.0,0,7,0,0,65,0,8
16,194,1,38,113,91,32,32,0,0,91,0,0,29,3,35,56,582.0,0,32,91,0,0,0,9
17,82,0,38,54,55,38,38,0,0,55,0,0,8,30,8,47,436.0,0,38,55,0,0,0,4
18,113,1,38,64,42,42,42,0,0,42,0,0,16,26,1,41,647.0,0,42,42,0,0,0,4
19,130,0,38,71,75,49,49,0,0,75,0,0,23,26,17,58,593.0,0,49,75,0,0,0,9
20,154,1,38,78,76,56,56,0,0,76,0,0,44,12,56,20,528.0,0,56,76,0,0,0,9
21,59,1,27,46,51,1,0,1,0,0,51,0,0,1,0,51,309.0,0,1,51,0,0,0,0
22,66,0,18,48,59,2,1,1,0,27,32,0,0,2,0,59,610.0,0,2,59,0,0,0,0
23,29,1,40,29,31,4,2,2,0,1,30,0,2,2,5,26,168.0,0,4,31,0,0,0,11
24,30,1,23,29,87,8,6,2,0,36,51,0,1,7,1,86,283.0,0,8,87,0,0,0,0
25,18,0,20,21,66,12,10,2,0,22,44,0,2,10,9,57,484.0,0,12,66,0,0,0,0
26,57,1,51,44,50,5,1,4,0,8,42,0,2,3,6,44,616.0,0,5,50,0,0,0,0
27,167,0,42,86,20,8,4,4,0,2,18,0,4,4,10,10,307.0,0,8,20,0,0,0,6
28,40,1,20,37,75,8,4,4,0,6,69,0,4,4,31,44,304.0,0,8,75,0,0,0,0
29,33,0,53,33,4,27,23,4,0,3,1,0,19,8,1,3,444.0,0,27,4,0,0,0,11
30,151,0,43,78,17,36,32,4,0,12,5,0,14,22,4,13,496.0,0,36,15,1,1,0,6
31,86,0,48,54,46,52,48,4,0,25,21,0,48,4,11,35,415.0,0,52,39,5,2,0,4
32,47,1,50,40,55,9,4,5,0,12,43,0,6,3,19,36,38.0,0,9,1,3,51,0,8
33,175,1,52,88,13,12,7,5,0,6,7,0,4,8,4,9,171.0,0,12,2,6,5,0,6
34,60,0,53,46,46,38,33,5,0,30,16,0,9,29,8,38,531.0,0,38,25,14,7,0,4
35,148,1,32,77,74,30,22,8,0,17,57,0,3,27,4,70,323.0,0,30,36,23,15,0,9
36,119,1,51,67,43,61,52,9,0,27,16,0,60,1,2,41,169.0,0,61,36,3,4,0,4
37,56,0,47,43,41,15,5,10,0,13,28,0,11,4,11,30,327.0,0,15,17,9,15,0,11
38,95,1,32,60,42,27,16,11,0,5,37,0,14,13,9,33,293.0,0,27,27,10,5,0,4
39,170,0,32,87,63,21,7,14,0,13,50,0,15,6,16,47,221.0,0,21,35,8,20,0,9
40,19,0,52,23,29,23,8,15,0,2,27,0,6,17,7,22,375.0,0,23,0,13,16,0,11
41,72,1,47,49,42,30,15,15,0,13,29,0,6,24,1,41,457.0,0,30,11,21,10,0,3
42,189,1,41,103,17,33,16,17,0,3,14,0,7,26,4,13,279.0,0,33,14,0,3,0,6
43,182,1,32,97,86,45,27,18,0,7,79,0,30,15,7,79,658.0,0,45,56,13,17,0,9
44,43,0,48,39,36,24,4,20,0,6,30,0,3,21,1,35,698.0,0,24,6,7,23,0,11
45,93,0,48,60,49,27,6,21,0,10,39,0,2,25,1,48,164.0,0,27,23,21,5,0,3
46,185,1,41,99,39,86,64,22,0,16,23,0,22,64,0,39,52.0,0,86,39,0,0,0,2
47,138,0,32,73,73,57,33,24,0,10,63,0,44,13,28,45,549.0,0,57,36,30,7,0,9
48,37,1,42,34,17,31,6,25,0,3,14,0,5,26,0,17,106.0,0,31,14,2,1,0,11
49,142,0,32,75,93,68,42,26,0,30,63,0,57,11,41,52,320.0,68,0,37,37,19,0,7
50,127,0,43,71,35,57,29,28,0,1,34,0,14,43,1,34,695.0,57,0,0,3,1,31,1
51,70,1,32,48,47,45,6,39,0,5,42,0,41,4,19,28,461.0,45,0,0,46,0,1,3
52,99,0,48,61,42,54,12,42,0,4,38,0,39,15,6,36,663.0,54,0,0,6,29,7,4
53,187,1,54,101,24,62,19,43,0,1,23,0,10,52,3,21,532.0,62,0,0,11,12,1,1
54,198,0,32,126,74,114,69,45,0,0,74,0,90,24,50,24,473.0,114,0,0,4,22,48,5
55,144,1,32,76,87,63,17,46,0,19,68,0,5,58,5,82,147.0,63,0,0,82,4,1,7
56,192,1,32,103,69,75,22,53,0,13,56,0,38,37,6,63,215.0,75,0,0,47,0,22,7
57,193,0,33,113,8,79,8,71,0,0,8,0,5,74,0,8,528.0,79,0,0,5,2,1,1
58,128,0,40,71,95,1,0,0,1,0,0,95,0,1,0,95,200.0,1,0,0,46,47,2,8
59,20,1,35,23,98,1,0,0,1,0,0,98,1,0,49,49,556.0,1,0,0,84,12,2,10
